# JVM native method bindings extracted from binary (RegisterNatives tables)
# Format: library|java_class.method|signature|native_symbol|confidence
#
libjvm.so|jdk.internal.vm.vector.VectorSupport.getCPUFeatures|()Ljava/lang/String;|VectorSupport_GetCPUFeatures|BIN_SCAN
libjvm.so|jdk.internal.vm.vector.VectorSupport.getMaxLaneCount|(Ljava/lang/Class;)I|VectorSupport_GetMaxLaneCount|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.abort|(Ljava/lang/String;)V|jfr_abort|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.addStringConstant|(JLjava/lang/String;)Z|jfr_add_string_constant|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.beginRecording|()V|jfr_begin_recording|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.commit|(J)J|jfr_commit|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.counterTime|()J|jfr_elapsed_counter|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.createJFR|(Z)Z|jfr_create_jfr|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.destroyJFR|()Z|jfr_destroy_jfr|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.drainStaleMethodTracerIds|()[J|jfr_drain_stale_method_tracer_ids|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.emitDataLoss|(J)V|jfr_emit_data_loss|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.emitEvent|(JJJ)Z|jfr_emit_event|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.emitOldObjectSamples|(JZZ)V|jfr_emit_old_object_samples|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.endRecording|()V|jfr_end_recording|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.exclude|(Ljava/lang/Thread;)V|jfr_exclude_thread|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.flush|()V|jfr_flush|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.flush|(Ljdk/jfr/internal/event/EventWriter;II)V|jfr_event_writer_flush|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getAllEventClasses|()Ljava/util/List;|jfr_get_all_event_classes|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getAllowedToDoEventRetransforms|()Z|jfr_allow_event_retransforms|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getChunkStartNanos|()J|jfr_chunk_start_nanos|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getClassId|(Ljava/lang/Class;)J|jfr_class_id|BIN_SCAN
libjvm.so|jdk.jfr.internal.JVM.getConfiguration|(Ljava/lang/Class;)Ljava/lang/Object;|jfr_get_configuration|BIN_SCAN
